OBS,WP4,WP3,WP2,D8,D9,MARGIN1,MARGIN2,MARGIN3,MARGIN4,MFR1,MFR2,MFR3,MFR4,PRICE1,PRICE2,PRICE3,PRICE4,PROMO11,PROMO12,PROMO13,PROMO14,PROMO21,PROMO22,PROMO23,PROMO24,RET,S10,S11,S12,S13,S2,S3,S4,S5,S6,S7,S8,S9,VOL1,VOL2,VOL3,VOL4,WEEK,WP1,D7,D6,D5,D4,D3,D2,D10,D1,CSALES
3/08/1990,0.249619364,0.229395529,0.320604476,0,0,0.223450684,0.306371421,0.200454841,0.252866949,73347.00541,73938.83012,33815.47027,54799.23861,0.373839725,0.462213475,0.286907533,0.334102961,0,0.14,0.247,0.109,0.234,0,0,0.036,80788.48958,0,0,0,0,0,1,0,0,0,0,0,0,252655,230623.2,147411.2,219531.2,26,0.290304983,0,1,0,0,0,0,0,0,850220.6
3/15/1990,0.250538904,0.224513392,0.311689234,0,0,0.302718606,0.222870199,0.191508117,0.282919451,30006.39614,140204.5498,32406.0834,42341.47568,0.378807893,0.401077443,0.277694058,0.349387394,0,0.046,0.241,0.066,0,0.14,0,0,77617.36911,0,0,0,0,0,1,0,0,0,0,0,0,113602.2,449821.6,144339.2,169001.6,27,0.264135696,0,0,1,0,0,0,0,0,876764.6
3/22/1990,0.252728741,0.221692635,0.337713146,0,0,0.185115655,0.253998473,0.196201181,0.272096982,83501.26486,75763.37761,33268.79305,51624.19228,0.338135761,0.45269766,0.275806122,0.347201117,0.183,0.117,0.494,0,0.293,0,0,0.036,72182.98533,0,0,0,0,0,1,0,0,0,0,0,0,303044.2,224342.4,150067.2,204267.2,28,0.275541538,0,0,1,0,0,0,0,0,881721
3/29/1990,0.265701502,0.200525658,0.340991614,0,0,0.280160677,0.278853412,0.309813463,0.224738005,36330.71626,66109.54448,20736.59893,80396.59816,0.3673907,0.472846463,0.290538351,0.342724787,0.231,0.043,0.244,0.071,0,0,0,0.035,72317.3658,0,0,0,0,0,0,1,0,0,0,0,0,137375.8,193874.4,103411.2,302582.4,29,0.264462273,0,0,0,0,0,0,0,0,737243.8
4/05/1990,0.249323835,0.200438323,0.346200158,0,0,0.179586097,0.228538636,0.350851887,0.287803449,217231.8344,175578.3183,51322.47316,158731.7201,0.353285846,0.448758906,0.308771325,0.350077284,0,0.068,0,0.095,0.237,0,0,0,191448.2738,0,0,0,0,0,0,1,0,0,0,0,0,749487.2,507158.4,256051.2,636648.8,30,0.28984062,0,0,0,0,0,0,0,0,2149345.6
4/12/1990,0.254125377,0.209556051,0.301056627,0,0,0.282126511,0.183838864,0.329436451,0.275125069,35773.19172,147237.1626,17443.11043,50841.94939,0.370949488,0.368869104,0.31250737,0.35057824,0.249,0.07,0,0.154,0,0.069,0,0,75090.3681,0,0,0,0,0,0,1,0,0,0,0,0,134336.8,489068,83238.4,200066.4,31,0.266294803,0,0,0,0,0,0,0,0,906709.6
4/19/1990,0.270261342,0.199088222,0.338619777,0,0,0.286511774,0.281396572,0.341773953,0.163183073,35379.41564,62570.43328,18039.6227,101615.6702,0.361251555,0.471219262,0.30246178,0.322963523,0.299,0.133,0,0.207,0,0,0,0,67891.28374,0,0,0,0,0,0,1,0,0,0,0,0,137263.2,184780.8,90611.2,375990.4,32,0.257748731,0,0,0,0,0,0,0,0,788645.6
4/26/1990,0.256983152,0.19948811,0.344840476,0,0,0.274270491,0.271194615,0.362121737,0.202939554,34252.67025,67752.8773,21531.94862,87320.81902,0.362357497,0.473158518,0.312736962,0.32241363,0.163,0.173,0,0.093,0,0,0,0,72612.69785,0,0,0,0,0,0,0,1,0,0,0,0,130251.4,196476,107936,339792,33,0.262973528,0,0,0,0,0,0,0,0,774455.4
5/03/1990,0.248130553,0.22632341,0.339688112,0,0,0.29276901,0.28110487,0.234037744,0.267145354,24023.26457,57635.56135,52851.76687,41682.7569,0.376039896,0.472514137,0.29547593,0.338580856,0,0.212,0,0.028,0,0,0,0,63824.8635,0,0,0,0,0,0,0,1,0,0,0,0,90331,169672,233523.2,167987.2,34,0.265947068,0,0,0,0,0,0,0,0,661513.4
5/10/1990,0.260059099,0.218353329,0.339986726,0,0,0.301184802,0.215590613,0.246736627,0.237365743,25007.70475,71774.46166,25816.70015,65747.93328,0.379356776,0.433430211,0.289876472,0.341001072,0,0.159,0.186,0.054,0,0,0,0,59425.09816,0,0,0,0,0,0,0,1,0,0,0,0,94333,211109.6,118233.6,252819.2,35,0.26510028,0,0,0,0,0,0,0,0,676495.4
